precision;recall;thresh
0,0;0,0;0,9780229926109314
0,0;0,0;0,9780048727989197
0,0;0,0;0,9779996275901794
0,0;0,0;0,9779708981513977
0,0;0,0;0,9779572486877441
0,0;0,0;0,9779506921768188
0,14285714285714285;0,01;0,9779415726661682
0,125;0,01;0,9779415726661682
0,1111111111111111;0,01;0,9779415726661682
0,1;0,01;0,9779415726661682
0,09090909090909091;0,01;0,9779415726661682
0,08333333333333333;0,01;0,9779415726661682
0,07692307692307693;0,01;0,9779415726661682
0,07142857142857142;0,01;0,9779389500617981
0,06666666666666667;0,01;0,9779389500617981
0,0625;0,01;0,9779271483421326
0,058823529411764705;0,01;0,9779175519943237
0,05555555555555555;0,01;0,9778915643692017
0,05263157894736842;0,01;0,9778882265090942
0,05;0,01;0,9778836965560913
0,047619047619047616;0,01;0,977863609790802
0,045454545454545456;0,01;0,9778515696525574
0,043478260869565216;0,01;0,9778515696525574
0,041666666666666664;0,01;0,9778497219085693
0,04;0,01;0,9778497219085693
0,038461538461538464;0,01;0,9778463840484619
0,037037037037037035;0,01;0,9778463840484619
0,03571428571428571;0,01;0,9778463840484619
0,034482758620689655;0,01;0,9778451323509216
0,03333333333333333;0,01;0,9778433442115784
0,03225806451612903;0,01;0,9778433442115784
0,0625;0,02;0,9778412580490112
0,06060606060606061;0,02;0,9778352379798889
0,08823529411764706;0,03;0,9778352379798889
0,08571428571428572;0,03;0,9778352379798889
0,08333333333333333;0,03;0,9778352379798889
0,08108108108108109;0,03;0,9778256416320801
0,07894736842105263;0,03;0,9778171181678772
0,07692307692307693;0,03;0,9778171181678772
0,075;0,03;0,9778171181678772
0,07317073170731707;0,03;0,9778155088424683
0,07142857142857142;0,03;0,9778155088424683
0,06976744186046512;0,03;0,9778065085411072
0,06818181818181818;0,03;0,9778053760528564
0,06666666666666667;0,03;0,9778004884719849
0,06521739130434782;0,03;0,9777957797050476
0,06382978723404255;0,03;0,9777957797050476
0,0625;0,03;0,9777933955192566
0,061224489795918366;0,03;0,9777845144271851
0,06;0,03;0,9777741432189941
0,0784313725490196;0,04;0,9777736067771912
0,07692307692307693;0,04;0,9777724146842957
0,07547169811320754;0,04;0,9777716398239136
0,07407407407407407;0,04;0,9777662754058838
0,07272727272727272;0,04;0,9777606129646301
0,08928571428571429;0,05;0,9777365326881409
0,08771929824561403;0,05;0,9777244925498962
0,08620689655172414;0,05;0,9777244925498962
0,0847457627118644;0,05;0,9776989221572876
0,08333333333333333;0,05;0,9776870608329773
0,08196721311475409;0,05;0,9776853919029236
0,08064516129032258;0,05;0,9776853919029236
0,07936507936507936;0,05;0,9776853919029236
0,078125;0,05;0,9776604175567627
0,07692307692307693;0,05;0,9776596426963806
0,07575757575757576;0,05;0,9776192903518677
0,08955223880597014;0,06;0,977599561214447
0,08823529411764706;0,06;0,9775909185409546
0,08695652173913043;0,06;0,9775894284248352
0,08571428571428572;0,06;0,9775805473327637
0,08450704225352113;0,06;0,9775704145431519
0,08333333333333333;0,06;0,9775511622428894
0,0821917808219178;0,06;0,9775511622428894
0,08108108108108109;0,06;0,9775468111038208
0,08;0,06;0,9775430560112
0,09210526315789473;0,07;0,9775363802909851
0,09090909090909091;0,07;0,9774965047836304
0,08974358974358974;0,07;0,9774961471557617
0,08860759493670886;0,07;0,977486252784729
0,0875;0,07;0,9774100184440613
0,08641975308641975;0,07;0,9773988723754883
0,08536585365853659;0,07;0,9773855805397034
0,08433734939759036;0,07;0,9773628115653992
0,08333333333333333;0,07;0,9773094058036804
0,08235294117647059;0,07;0,9772847890853882
0,08139534883720931;0,07;0,9772673845291138
0,08045977011494253;0,07;0,9772212505340576
0,07954545454545454;0,07;0,9771938323974609
0,07865168539325842;0,07;0,9771470427513123
0,07777777777777778;0,07;0,9770859479904175
0,07692307692307693;0,07;0,9770655632019043
0,07608695652173914;0,07;0,9770408272743225
0,07526881720430108;0,07;0,9770408272743225
0,07446808510638298;0,07;0,9770360589027405
0,07368421052631578;0,07;0,9770307540893555
0,07291666666666667;0,07;0,9770307540893555
0,08247422680412371;0,08;0,9770307540893555
0,08163265306122448;0,08;0,9770307540893555
0,08080808080808081;0,08;0,9770307540893555
0,08;0,08;0,9770307540893555
0,07920792079207921;0,08;0,9770307540893555
0,0784313725490196;0,08;0,9770282506942749
0,07766990291262135;0,08;0,9769864678382874
0,07692307692307693;0,08;0,9769784808158875
0,0761904761904762;0,08;0,9769784808158875
0,07547169811320754;0,08;0,9769774675369263
0,07476635514018691;0,08;0,9769681692123413
0,07407407407407407;0,08;0,9769672155380249
0,07339449541284404;0,08;0,9769640564918518
0,07272727272727272;0,08;0,9769619107246399
0,07207207207207207;0,08;0,976945161819458
0,07142857142857142;0,08;0,976945161819458
0,07079646017699115;0,08;0,976945161819458
0,07017543859649122;0,08;0,976945161819458
0,06956521739130435;0,08;0,976945161819458
0,06896551724137931;0,08;0,9769247770309448
0,06837606837606838;0,08;0,9769144654273987
0,06779661016949153;0,08;0,97690349817276
0,06722689075630252;0,08;0,9768753051757812
0,06666666666666667;0,08;0,9768176078796387
0,06611570247933884;0,08;0,9768097996711731
0,06557377049180328;0,08;0,9768072962760925
0,06504065040650407;0,08;0,9767994284629822
0,06451612903225806;0,08;0,9767435789108276
0,064;0,08;0,9767158627510071
0,06349206349206349;0,08;0,9767158627510071
0,06299212598425197;0,08;0,9767158627510071
0,0625;0,08;0,9767158627510071
0,06201550387596899;0,08;0,9766984581947327
0,06153846153846154;0,08;0,9766741991043091
0,061068702290076333;0,08;0,9765376448631287
0,06060606060606061;0,08;0,9765351414680481
0,06015037593984962;0,08;0,9765218496322632
0,05970149253731343;0,08;0,9764822125434875
0,05925925925925926;0,08;0,9764348268508911
0,058823529411764705;0,08;0,976430356502533
0,058394160583941604;0,08;0,9764302372932434
0,057971014492753624;0,08;0,9764302372932434
0,05755395683453238;0,08;0,9764302372932434
0,05714285714285714;0,08;0,9764302372932434
0,05673758865248227;0,08;0,9763511419296265
0,056338028169014086;0,08;0,9763410687446594
0,055944055944055944;0,08;0,9763410687446594
0,0625;0,09;0,9763410687446594
0,06206896551724138;0,09;0,9763410687446594
0,06164383561643835;0,09;0,9763394594192505
0,061224489795918366;0,09;0,9763315916061401
0,060810810810810814;0,09;0,9763258099555969
0,06040268456375839;0,09;0,9763205647468567
0,06;0,09;0,9763071537017822
0,059602649006622516;0,09;0,9762742519378662
0,05921052631578947;0,09;0,9762430787086487
0,058823529411764705;0,09;0,9762402772903442
0,05844155844155844;0,09;0,9762402772903442
0,06451612903225806;0,1;0,9762402772903442
0,0641025641025641;0,1;0,9762236475944519
0,06369426751592357;0,1;0,9762154817581177
0,06962025316455696;0,11;0,9761717319488525
0,06918238993710692;0,11;0,976164698600769
0,06875;0,11;0,9761229157447815
0,06832298136645963;0,11;0,9761157631874084
0,06790123456790123;0,11;0,9760806560516357
0,06748466257668712;0,11;0,9760772585868835
0,06707317073170732;0,11;0,9760560393333435
0,06666666666666667;0,11;0,9760560393333435
0,06626506024096386;0,11;0,9760560393333435
0,0658682634730539;0,11;0,9760560393333435
0,06547619047619048;0,11;0,9760520458221436
0,0650887573964497;0,11;0,9760466814041138
0,06470588235294118;0,11;0,9760441780090332
0,06432748538011696;0,11;0,9760220646858215
0,06395348837209303;0,11;0,975999116897583
0,06358381502890173;0,11;0,9759987592697144
0,06896551724137931;0,12;0,9759144186973572
0,06857142857142857;0,12;0,9759095311164856
0,06818181818181818;0,12;0,975904643535614
0,06779661016949153;0,12;0,9758827090263367
0,06741573033707865;0,12;0,975830078125
0,0670391061452514;0,12;0,9758294820785522
0,06666666666666667;0,12;0,9757965803146362
0,06629834254143646;0,12;0,9756848812103271
0,06593406593406594;0,12;0,9756795763969421
0,06557377049180328;0,12;0,9756411910057068
0,06521739130434782;0,12;0,9755657315254211
0,07027027027027027;0,13;0,9754816889762878
0,06989247311827956;0,13;0,9754816889762878
0,06951871657754011;0,13;0,9754816889762878
0,06914893617021277;0,13;0,9754816889762878
0,06878306878306878;0,13;0,9754816889762878
0,06842105263157895;0,13;0,9754816889762878
0,06806282722513089;0,13;0,9754816889762878
0,06770833333333333;0,13;0,9754531383514404
0,06735751295336788;0,13;0,9754458665847778
0,06701030927835051;0,13;0,9753995537757874
0,06666666666666667;0,13;0,9753512740135193
0,0663265306122449;0,13;0,9753146171569824
0,06598984771573604;0,13;0,9753022789955139
0,06565656565656566;0,13;0,9752992987632751
0,06532663316582915;0,13;0,9752992987632751
0,065;0,13;0,974983274936676
0,06467661691542288;0,13;0,9748630523681641
0,06930693069306931;0,14;0,974862277507782
0,06896551724137931;0,14;0,9748377799987793
0,06862745098039216;0,14;0,9748026728630066
0,06829268292682927;0,14;0,9747387766838074
0,06796116504854369;0,14;0,9747211337089539
0,06763285024154589;0,14;0,9747196435928345
0,0673076923076923;0,14;0,9747196435928345
0,06698564593301436;0,14;0,9747163653373718
0,06666666666666667;0,14;0,9746537804603577
0,07109004739336493;0,15;0,9746298789978027
0,07075471698113207;0,15;0,9746298789978027
0,07042253521126761;0,15;0,9746298789978027
0,07009345794392523;0,15;0,9746071100234985
0,06976744186046512;0,15;0,9745984673500061
0,06944444444444445;0,15;0,9745864868164062
0,06912442396313365;0,15;0,974580705165863
0,06880733944954129;0,15;0,9745555520057678
0,0684931506849315;0,15;0,9745541214942932
0,06818181818181818;0,15;0,9745541214942932
0,06787330316742081;0,15;0,9744756817817688
0,06756756756756757;0,15;0,9744746088981628
0,06726457399103139;0,15;0,9744661450386047
0,07142857142857142;0,16;0,9744490385055542
0,07111111111111111;0,16;0,9744490385055542
0,07079646017699115;0,16;0,9744490385055542
0,07048458149779736;0,16;0,974433422088623
0,07017543859649122;0,16;0,9744039177894592
0,06986899563318777;0,16;0,9743924736976624
0,06956521739130435;0,16;0,9743924736976624
0,06926406926406926;0,16;0,974284291267395
0,06896551724137931;0,16;0,974269449710846
0,06866952789699571;0,16;0,9742612838745117
0,06837606837606838;0,16;0,9742136597633362
0,06808510638297872;0,16;0,9742136597633362
0,06779661016949153;0,16;0,9741979241371155
0,06751054852320675;0,16;0,9741621613502502
0,06722689075630252;0,16;0,974120557308197
0,06694560669456066;0,16;0,974120557308197
0,06666666666666667;0,16;0,974120557308197
0,06639004149377593;0,16;0,974120557308197
0,06611570247933884;0,16;0,974120557308197
0,06584362139917696;0,16;0,9741106033325195
0,06557377049180328;0,16;0,9740438461303711
0,06938775510204082;0,17;0,9740438461303711
0,06910569105691057;0,17;0,9740438461303711
0,06882591093117409;0,17;0,9740438461303711
0,06854838709677419;0,17;0,9740438461303711
0,06827309236947791;0,17;0,9740438461303711
0,068;0,17;0,9740429520606995
0,06772908366533864;0,17;0,9739632606506348
0,06746031746031746;0,17;0,9739137291908264
0,06719367588932806;0,17;0,9737613201141357
0,06692913385826772;0,17;0,9737538695335388
0,06666666666666667;0,17;0,9737407565116882
0,06640625;0,17;0,9737407565116882
0,06614785992217899;0,17;0,9737284183502197
0,06589147286821706;0,17;0,9737030863761902
0,06563706563706563;0,17;0,973696231842041
0,06538461538461539;0,17;0,9736494421958923
0,06513409961685823;0,17;0,9736494421958923
0,0648854961832061;0,17;0,9735958576202393
0,06463878326996197;0,17;0,9735891819000244
0,06439393939393939;0,17;0,9735837578773499
0,06415094339622641;0,17;0,9735080599784851
0,06390977443609022;0,17;0,9734449982643127
0,06367041198501873;0,17;0,9733914732933044
0,06343283582089553;0,17;0,9733696579933167
0,06319702602230483;0,17;0,9733230471611023
0,06296296296296296;0,17;0,9733182787895203
0,06273062730627306;0,17;0,9732977747917175
0,0625;0,17;0,9732851982116699
0,06227106227106227;0,17;0,9732600450515747
0,06204379562043796;0,17;0,9732305407524109
0,06181818181818182;0,17;0,973227858543396
0,06159420289855073;0,17;0,973227858543396
0,061371841155234655;0,17;0,973227858543396
0,06115107913669065;0,17;0,973227858543396
0,06093189964157706;0,17;0,973227858543396
0,060714285714285714;0,17;0,973227858543396
0,060498220640569395;0,17;0,973227858543396
0,06028368794326241;0,17;0,973227858543396
0,06007067137809187;0,17;0,973227858543396
0,05985915492957746;0,17;0,9732196927070618
0,05964912280701754;0,17;0,9732125997543335
0,05944055944055944;0,17;0,9731868505477905
0,059233449477351915;0,17;0,9731453061103821
0,059027777777777776;0,17;0,9731431603431702
0,058823529411764705;0,17;0,9731082916259766
0,05862068965517241;0,17;0,9730744361877441
0,058419243986254296;0,17;0,9730597734451294
0,05821917808219178;0,17;0,9730044603347778
0,05802047781569966;0,17;0,9730044603347778
0,061224489795918366;0,18;0,9729576110839844
0,061016949152542375;0,18;0,9729131460189819
0,060810810810810814;0,18;0,9728724360466003
0,06060606060606061;0,18;0,9728474617004395
0,06040268456375839;0,18;0,9727874398231506
0,06020066889632107;0,18;0,9727856516838074
0,06;0,18;0,9727824926376343
0,059800664451827246;0,18;0,9727799296379089
0,059602649006622516;0,18;0,9727737307548523
0,0594059405940594;0,18;0,9727660417556763
0,0625;0,19;0,9725717306137085
0,06229508196721312;0,19;0,9725717306137085
0,06209150326797386;0,19;0,9725403785705566
0,06188925081433225;0,19;0,9725403785705566
0,06168831168831169;0,19;0,9725314378738403
0,061488673139158574;0,19;0,9724485874176025
0,06129032258064516;0,19;0,9724410176277161
0,06109324758842444;0,19;0,9723987579345703
0,0641025641025641;0,2;0,9723252654075623
0,0670926517571885;0,21;0,9723079204559326
0,06687898089171974;0,21;0,972271740436554
0,06666666666666667;0,21;0,9722684621810913
0,06645569620253164;0,21;0,9722189903259277
0,06624605678233439;0,21;0,9722189903259277
0,0660377358490566;0,21;0,9722189903259277
0,06583072100313479;0,21;0,9721493721008301
0,065625;0,21;0,972019374370575
0,06542056074766354;0,21;0,9720140099525452
0,06521739130434782;0,21;0,9719361662864685
0,06501547987616099;0,21;0,9719282984733582
0,06481481481481481;0,21;0,9719282984733582
0,06461538461538462;0,21;0,9718956351280212
0,06441717791411043;0,21;0,9716951251029968
0,06422018348623854;0,21;0,9716310501098633
0,06707317073170732;0,22;0,9716135263442993
0,0668693009118541;0,22;0,9714014530181885
0,06666666666666667;0,22;0,9714014530181885
0,06646525679758308;0,22;0,9713659882545471
0,06626506024096386;0,22;0,9713484644889832
0,06606606606606606;0,22;0,9712726473808289
0,0658682634730539;0,22;0,9712726473808289
0,06567164179104477;0,22;0,9712726473808289
0,06547619047619048;0,22;0,9712657928466797
0,06528189910979229;0,22;0,9712542295455933
0,0650887573964497;0,22;0,9712542295455933
0,06489675516224189;0,22;0,9712542295455933
0,06764705882352941;0,23;0,9712542295455933
0,06744868035190615;0,23;0,9712542295455933
0,06725146198830409;0,23;0,9712033867835999
0,06705539358600583;0,23;0,9712033867835999
0,06686046511627906;0,23;0,9711899161338806
0,06956521739130435;0,24;0,9711899161338806
0,06936416184971098;0,24;0,9711899161338806
0,069164265129683;0,24;0,9711878895759583
0,07183908045977011;0,25;0,9711449146270752
0,07163323782234957;0,25;0,9711018800735474
0,07142857142857142;0,25;0,9710466861724854
0,07122507122507123;0,25;0,9709805846214294
0,07102272727272728;0,25;0,9709662795066833
0,0708215297450425;0,25;0,970823347568512
0,07062146892655367;0,25;0,9707733392715454
0,07042253521126761;0,25;0,9706559777259827
0,0702247191011236;0,25;0,9705472588539124
0,0700280112044818;0,25;0,9704653024673462
0,06983240223463687;0,25;0,9703814387321472
0,06963788300835655;0,25;0,9703811407089233
0,06944444444444445;0,25;0,9703176021575928
0,06925207756232687;0,25;0,9702334403991699
0,06906077348066299;0,25;0,9698634743690491
0,06887052341597796;0,25;0,9698247909545898
0,06868131868131869;0,25;0,969754159450531
0,0684931506849315;0,25;0,9696019291877747
0,06830601092896176;0,25;0,9694811105728149
0,0681198910081744;0,25;0,9694697856903076
0,06793478260869565;0,25;0,9693543910980225
0,06775067750677506;0,25;0,9693365097045898
0,06756756756756757;0,25;0,9692660570144653
0,0673854447439353;0,25;0,9690014719963074
0,06720430107526881;0,25;0,9688897728919983
0,06702412868632708;0,25;0,9688897728919983
0,06684491978609626;0,25;0,9688223004341125
0,06933333333333333;0,26;0,9688223004341125
0,07180851063829788;0,27;0,9687278866767883
0,07161803713527852;0,27;0,9687278866767883
0,07142857142857142;0,27;0,9687250852584839
0,0712401055408971;0,27;0,9687199592590332
0,07105263157894737;0,27;0,9687038064002991
0,07086614173228346;0,27;0,9686806797981262
0,07068062827225131;0,27;0,9686347246170044
0,07049608355091384;0,27;0,9686347246170044
0,0703125;0,27;0,9685802459716797
0,07012987012987013;0,27;0,9685429930686951
0,06994818652849741;0,27;0,968502938747406
0,06976744186046512;0,27;0,9684922099113464
0,06958762886597938;0,27;0,9682990312576294
0,06940874035989718;0,27;0,9682990312576294
0,06923076923076923;0,27;0,9682249426841736
0,06905370843989769;0,27;0,9681622385978699
0,06887755102040816;0,27;0,9680458307266235
0,06870229007633588;0,27;0,9678547382354736
0,06852791878172589;0,27;0,9678547382354736
0,07088607594936709;0,28;0,9676786661148071
0,0707070707070707;0,28;0,9676716327667236
0,07052896725440806;0,28;0,9676107168197632
0,0728643216080402;0,29;0,9676107168197632
0,07268170426065163;0,29;0,9676107168197632
0,0725;0,29;0,9675507545471191
0,07231920199501247;0,29;0,9669834971427917
0,07213930348258707;0,29;0,9667147397994995
0,07196029776674938;0,29;0,966541051864624
0,07178217821782178;0,29;0,9660750031471252
0,07160493827160494;0,29;0,9660750031471252
0,07142857142857142;0,29;0,9659640789031982
0,07125307125307126;0,29;0,9658222794532776
0,07107843137254902;0,29;0,9655519127845764
0,07090464547677261;0,29;0,9654847979545593
0,07073170731707316;0,29;0,9654775857925415
0,0705596107055961;0,29;0,9651411175727844
0,07281553398058252;0,3;0,9649288654327393
0,07506053268765134;0,31;0,964771032333374
0,0748792270531401;0,31;0,9645470976829529
0,0746987951807229;0,31;0,9644787311553955
0,07451923076923077;0,31;0,9644620418548584
0,07434052757793765;0,31;0,9643928408622742
0,07416267942583732;0,31;0,9642876386642456
0,07398568019093078;0,31;0,9642876386642456
0,07380952380952381;0,31;0,9642648100852966
0,07363420427553444;0,31;0,9642648100852966
0,07345971563981042;0,31;0,9641968607902527
0,07328605200945626;0,31;0,9641968607902527
0,07311320754716981;0,31;0,9641968607902527
0,07294117647058823;0,31;0,9641968607902527
0,07276995305164319;0,31;0,9641968607902527
0,07259953161592506;0,31;0,964146614074707
0,07476635514018691;0,32;0,9637281894683838
0,07459207459207459;0,32;0,9635014533996582
0,07441860465116279;0,32;0,9635014533996582
0,0765661252900232;0,33;0,9635014533996582
0,0763888888888889;0,33;0,9635014533996582
0,07621247113163972;0,33;0,9635014533996582
0,07603686635944701;0,33;0,9635013341903687
0,07586206896551724;0,33;0,9634411334991455
0,07568807339449542;0,33;0,9634411334991455
0,07551487414187644;0,33;0,9634411334991455
0,07534246575342465;0,33;0,9634067416191101
0,07517084282460136;0,33;0,96275395154953
0,075;0,33;0,9627193808555603
0,07482993197278912;0,33;0,9620446562767029
0,0746606334841629;0,33;0,9618808627128601
0,0744920993227991;0,33;0,96185702085495
0,07432432432432433;0,33;0,9611443281173706
0,07415730337078652;0,33;0,9605025053024292
0,07399103139013453;0,33;0,9601432085037231
0,07606263982102908;0,34;0,9599869847297668
0,07589285714285714;0,34;0,9598337411880493
0,0757238307349666;0,34;0,9598337411880493
0,07555555555555556;0,34;0,9595133662223816
0,07538802660753881;0,34;0,9593197107315063
0,0752212389380531;0,34;0,9593197107315063
0,07505518763796909;0,34;0,9591736793518066
0,07488986784140969;0,34;0,9591530561447144
0,07472527472527472;0,34;0,9591530561447144
0,07675438596491228;0,35;0,9591530561447144
0,07658643326039387;0,35;0,9591530561447144
0,07641921397379912;0,35;0,9591530561447144
0,07625272331154684;0,35;0,9589492678642273
0,07608695652173914;0,35;0,9587688446044922
0,07592190889370933;0,35;0,9577581286430359
0,07575757575757576;0,35;0,9576132893562317
0,07775377969762419;0,36;0,9568403363227844
0,07758620689655173;0,36;0,9567552208900452
0,07741935483870968;0,36;0,9567317962646484
0,07725321888412018;0,36;0,9567317962646484
0,07708779443254818;0,36;0,9564154744148254
0,07692307692307693;0,36;0,9564154744148254
0,07889125799573561;0,37;0,9557005167007446
0,07872340425531915;0,37;0,9557005167007446
0,07855626326963906;0,37;0,9557005167007446
0,07838983050847458;0,37;0,9557005167007446
0,07822410147991543;0,37;0,9557005167007446
0,07805907172995781;0,37;0,9557005167007446
0,07789473684210527;0,37;0,9556501507759094
0,07773109243697479;0,37;0,9542657136917114
0,07756813417190776;0,37;0,9528009295463562
0,07740585774058577;0,37;0,9527513384819031
0,07724425887265135;0,37;0,9522877931594849
0,07708333333333334;0,37;0,9521571397781372
0,07692307692307693;0,37;0,9521571397781372
0,07883817427385892;0,38;0,9512506723403931
0,07867494824016563;0,38;0,950984001159668
0,07851239669421488;0,38;0,9494144320487976
0,07835051546391752;0,38;0,9486465454101562
0,07818930041152264;0,38;0,9484291076660156
0,07802874743326489;0,38;0,9484291076660156
0,0778688524590164;0,38;0,9479359984397888
0,07770961145194274;0,38;0,9470959901809692
0,07755102040816327;0,38;0,9469141364097595
0,07739307535641547;0,38;0,9463301301002502
0,07723577235772358;0,38;0,9459189772605896
0,07707910750507099;0,38;0,9453068971633911
0,07692307692307693;0,38;0,9442435503005981
0,07676767676767676;0,38;0,9442435503005981
0,07862903225806452;0,39;0,9439105987548828
0,07847082494969819;0,39;0,9439105987548828
0,0783132530120482;0,39;0,9439105987548828
0,0781563126252505;0,39;0,9439105987548828
0,078;0,39;0,9434588551521301
0,07784431137724551;0,39;0,9430384635925293
0,07768924302788845;0,39;0,9428533911705017
0,07952286282306163;0,4;0,9426560997962952
0,07936507936507936;0,4;0,9425303936004639
0,07920792079207921;0,4;0,9419575929641724
0,07905138339920949;0,4;0,9419575929641724
0,07889546351084813;0,4;0,9417267441749573
0,07874015748031496;0,4;0,9416581392288208
0,07858546168958742;0,4;0,9416581392288208
0,0784313725490196;0,4;0,9413525462150574
0,07827788649706457;0,4;0,9413071274757385
0,078125;0,4;0,9412826895713806
0,07797270955165692;0,4;0,9411770105361938
0,07782101167315175;0,4;0,9411770105361938
0,07766990291262135;0,4;0,9410222172737122
0,07751937984496124;0,4;0,9409726858139038
0,07736943907156674;0,4;0,9409397840499878
0,07915057915057915;0,41;0,9404553771018982
0,0789980732177264;0,41;0,9404553771018982
0,07884615384615384;0,41;0,9404553771018982
0,07869481765834933;0,41;0,940209686756134
0,07854406130268199;0,41;0,9397306442260742
0,07839388145315487;0,41;0,9395328760147095
0,07824427480916031;0,41;0,9384060502052307
0,07809523809523809;0,41;0,9381872415542603
0,0779467680608365;0,41;0,9381195902824402
0,0777988614800759;0,41;0,9378988742828369
0,07765151515151515;0,41;0,9378988742828369
0,07750472589792061;0,41;0,9378988742828369
0,07735849056603773;0,41;0,9378988742828369
0,07721280602636535;0,41;0,9378594756126404
0,07706766917293233;0,41;0,9377513527870178
0,07692307692307693;0,41;0,9377513527870178
0,07677902621722846;0,41;0,9371840357780457
0,07850467289719626;0,42;0,9371840357780457
0,07835820895522388;0,42;0,9371840357780457
0,0782122905027933;0,42;0,937028169631958
0,07806691449814127;0,42;0,937028169631958
0,07792207792207792;0,42;0,937028169631958
0,07777777777777778;0,42;0,937028169631958
0,07763401109057301;0,42;0,9369826316833496
0,07749077490774908;0,42;0,9369639158248901
0,07734806629834254;0,42;0,9369309544563293
0,07720588235294118;0,42;0,9369309544563293
0,07706422018348624;0,42;0,9366018772125244
0,07692307692307693;0,42;0,9366018772125244
0,07678244972577697;0,42;0,9362055659294128
0,07664233576642336;0,42;0,9346910119056702
0,07650273224043716;0,42;0,9339986443519592
0,07636363636363637;0,42;0,9339986443519592
0,07622504537205081;0,42;0,9329564571380615
0,07608695652173914;0,42;0,9319669008255005
0,0759493670886076;0,42;0,931674599647522
0,07581227436823104;0,42;0,9302098155021667
